rule_id,current_service,suggested_service,resource,domain,reason,confidence,status,normalized_rule_id,transformation,status_update
azure.azure.crypto_private_ca.secrets_private_ca_ca_access_rbac_least_privilege,azure,keyvault,crypto_private_ca,identity_and_access_management,resource contains 'crypto',high,PENDING_REVIEW,azure.keyvault.private_ca.private_ca_ca_access_rbac_least_privilege,azure → keyvault,NORMALIZED
azure.azure.network_load_balancer.network_lb_waf_attached_where_supported,azure,network,network_load_balancer,network_security_and_connectivity,resource contains 'network',high,PENDING_REVIEW,azure.network.load_balancer.lb_waf_attached_where_supported,azure → network,NORMALIZED
azure.azure.network_network_acl.network_nacl_no_allow_all_rules,azure,network,network_network_acl,network_security_and_connectivity,resource contains 'network',high,PENDING_REVIEW,azure.network.network_acl.nacl_no_allow_all_rules,azure → network,NORMALIZED
azure.azure.secrets_parameter.secure_string_type_for_sensitive,azure,keyvault,secrets_parameter,secrets_and_key_management,resource contains 'secrets',high,PENDING_REVIEW,azure.keyvault.secrets_parameter.secure_string_type_for_sensitive,azure → keyvault,NORMALIZED
azure.azure.network_vpc.route_tables_no_unintended_internet_paths,azure,network,network_vpc,network_security_and_connectivity,resource contains 'vpc',high,PENDING_REVIEW,azure.network.vpc.route_tables_no_unintended_internet_paths,azure → network,NORMALIZED
azure.azure.network_micro_segmentation.network_microseg_identity_aware_policies_enabled,azure,network,network_micro_segmentation,identity_and_access_management,resource contains 'network',high,PENDING_REVIEW,azure.network.micro_segmentation.microseg_identity_aware_policies_enabled,azure → network,NORMALIZED
azure.azure.logging_query_definition.storage_encrypted,azure,monitor,logging_query_definition,data_protection_and_privacy,resource contains 'log',high,PENDING_REVIEW,azure.monitor.logging_query_definition.storage_encrypted,azure → monitor,NORMALIZED
azure.azure.privacy_audit.retention_days_minimum,azure,security,privacy_audit,data_protection_and_privacy,scope contains 'security',high,PENDING_REVIEW,azure.security.privacy_audit.retention_days_minimum,azure → security,NORMALIZED
azure.azure.network_vpc.flow_logs_enabled,azure,network,network_vpc,network_security_and_connectivity,resource contains 'vpc',high,PENDING_REVIEW,azure.network.vpc.flow_logs_enabled,azure → network,NORMALIZED
azure.azure.network_traffic_analysis.ids_ips_enabled_where_supported,azure,network,network_traffic_analysis,network_security_and_connectivity,resource contains 'network',high,PENDING_REVIEW,azure.network.traffic_analysis.ids_ips_enabled_where_supported,azure → network,NORMALIZED
azure.azure.network_route_table.vpc_endpoints_used_for_saas_where_supported,azure,network,network_route_table,network_security_and_connectivity,resource contains 'network',high,PENDING_REVIEW,azure.network.route_table.vpc_endpoints_used_for_saas_where_supported,azure → network,NORMALIZED
azure.azure.serverless_version.published_and_immutable,azure,security,serverless_version,compute_and_workload_security,scope contains 'security',high,PENDING_REVIEW,azure.security.serverless_version.published_and_immutable,azure → security,NORMALIZED
azure.azure.monitoring_anomaly_detector.monitoring_anomaly_training_data_sources_approved,azure,monitor,monitoring_anomaly_detector,logging_monitoring_and_alerting,resource contains 'monitoring',high,PENDING_REVIEW,azure.monitor.anomaly_detector.anomaly_training_data_sources_approved,azure → monitor,NORMALIZED
azure.azure.platform_stage.logging_enabled,azure,monitor,platform_stage,logging_monitoring_and_alerting,rule_id contains 'log',high,PENDING_REVIEW,azure.monitor.platform_stage.logging_enabled,azure → monitor,NORMALIZED
azure.azure.network_target_group.network_tg_targets_in_private_subnets,azure,network,network_target_group,network_security_and_connectivity,resource contains 'network',high,PENDING_REVIEW,azure.network.target_group.tg_targets_in_private_subnets,azure → network,NORMALIZED
azure.azure.streaming_analytics_application.streaming_analytics_role_least_privilege,azure,rbac,streaming_analytics_application,identity_and_access_management,rule_id contains 'role',high,PENDING_REVIEW,azure.rbac.streaming_analytics_application.streaming_analytics_role_least_privilege,azure → rbac,NORMALIZED
azure.azure.platform_authorizer.token_audience_restricted,azure,security,platform_authorizer,container_and_kubernetes_security,scope contains 'security',high,PENDING_REVIEW,azure.security.platform_authorizer.token_audience_restricted,azure → security,NORMALIZED
azure.azure.network_target_group.network_tg_health_checks_tls_where_supported,azure,network,network_target_group,data_protection_and_privacy,resource contains 'network',high,PENDING_REVIEW,azure.network.target_group.tg_health_checks_tls_where_supported,azure → network,NORMALIZED
azure.azure.platform_api_key.rotation_policy_defined,azure,api,platform_api_key,secrets_and_key_management,resource contains 'api',high,PENDING_REVIEW,azure.api.platform_api_key.rotation_policy_defined,azure → api,NORMALIZED
azure.azure.network_firewall.no_permit_any_any,azure,network,network_firewall,network_security_and_connectivity,resource contains 'network',high,PENDING_REVIEW,azure.network.firewall.no_permit_any_any,azure → network,NORMALIZED
azure.azure.registry_repo.supply_chain_registry_image_scanning_enabled,azure,security,registry_repo,container_and_kubernetes_security,scope contains 'security',high,PENDING_REVIEW,azure.security.registry_repo.supply_chain_registry_image_scanning_enabled,azure → security,NORMALIZED
azure.azure.monitoring_sampling_rule.storage_encrypted,azure,monitor,monitoring_sampling_rule,data_protection_and_privacy,resource contains 'monitoring',high,PENDING_REVIEW,azure.monitor.sampling_rule.storage_encrypted,azure → monitor,NORMALIZED
azure.azure.privacy_breach_detection.alert_destinations_configured,azure,security,privacy_breach_detection,data_protection_and_privacy,scope contains 'security',high,PENDING_REVIEW,azure.security.privacy_breach_detection.alert_destinations,azure → security,NORMALIZED
azure.azure.registry_lifecycle_policy.supply_chain_lifecycle_policy_policy_storage_encrypted,azure,policy,registry_lifecycle_policy,data_protection_and_privacy,resource contains 'policy',high,PENDING_REVIEW,azure.policy.registry_lifecycle_policy.supply_chain_lifecycle_policy_policy_storage_encrypted,azure → policy,NORMALIZED
azure.azure.privacy_breach_detection.integrations_authenticated,azure,security,privacy_breach_detection,data_protection_and_privacy,scope contains 'security',high,PENDING_REVIEW,azure.security.privacy_breach_detection.integrations_authenticated,azure → security,NORMALIZED
azure.azure.crypto_alias.secrets_alias_key_has_alias,azure,keyvault,crypto_alias,secrets_and_key_management,resource contains 'crypto',high,PENDING_REVIEW,azure.keyvault.alias.alias_key_has_alias,azure → keyvault,NORMALIZED
azure.azure.serverless_function.dead_letter_queue_configured,azure,function,serverless_function,compute_and_workload_security,resource contains 'function',high,PENDING_REVIEW,azure.function.serverless_function.dead_letter_queue,azure → function,NORMALIZED
azure.azure.network_subnet.route_table_association_present,azure,network,network_subnet,network_security_and_connectivity,resource contains 'network',high,PENDING_REVIEW,azure.network.subnet.route_table_association_present,azure → network,NORMALIZED
azure.azure.dr_job.resilience_roles_least_privilege,azure,backup,dr_job,identity_and_access_management,resource contains 'dr_',high,PENDING_REVIEW,azure.backup.dr_job.resilience_roles_least_privilege,azure → backup,NORMALIZED
azure.azure.crypto_certificate.secrets_certificate_not_expired,azure,keyvault,crypto_certificate,secrets_and_key_management,resource contains 'crypto',high,PENDING_REVIEW,azure.keyvault.certificate.certificate_not_expired,azure → keyvault,NORMALIZED
azure.azure.network_micro_segmentation.network_microseg_endpoint_policies_applied,azure,network,network_micro_segmentation,network_security_and_connectivity,resource contains 'network',high,PENDING_REVIEW,azure.network.micro_segmentation.microseg_endpoint_policies_applied,azure → network,NORMALIZED
azure.azure.network_security_group.network_sg_no_0_0_0_0_ingress,azure,network,network_security_group,network_security_and_connectivity,resource contains 'network',high,PENDING_REVIEW,azure.network.security_group.sg_no_0_0_0_0_ingress,azure → network,NORMALIZED
azure.azure.network_anomaly_detection.network_anomaly_detectors_enabled,azure,network,network_anomaly_detection,network_security_and_connectivity,resource contains 'network',high,PENDING_REVIEW,azure.network.anomaly_detection.anomaly_detectors_enabled,azure → network,NORMALIZED
azure.azure.dr_job.resilience_logs_enabled,azure,backup,dr_job,logging_monitoring_and_alerting,resource contains 'dr_',high,PENDING_REVIEW,azure.backup.dr_job.resilience_logs_enabled,azure → backup,NORMALIZED
azure.azure.dr_recovery_instance.resilience_recovery_instance_security_groups_restrictive,azure,compute,dr_recovery_instance,network_security_and_connectivity,resource contains 'instance',high,PENDING_REVIEW,azure.compute.dr_recovery_instance.resilience_recovery_instance_security_groups_restrictive,azure → compute,NORMALIZED
azure.azure.serverless_provisioned_concurrency.serverless_prov_conc_execution_role_least_privilege,azure,rbac,serverless_provisioned_concurrency,identity_and_access_management,rule_id contains 'role',high,PENDING_REVIEW,azure.rbac.serverless_provisioned_concurrency.serverless_prov_conc_execution_role_least_privilege,azure → rbac,NORMALIZED
azure.azure.dr_recovery_instance.resilience_recovery_instance_volumes_encrypted,azure,compute,dr_recovery_instance,data_protection_and_privacy,resource contains 'instance',high,PENDING_REVIEW,azure.compute.dr_recovery_instance.resilience_recovery_instance_volumes_encrypted,azure → compute,NORMALIZED
azure.azure.network_security_group.network_sg_egress_restricted,azure,network,network_security_group,network_security_and_connectivity,resource contains 'network',high,PENDING_REVIEW,azure.network.security_group.sg_egress_restricted,azure → network,NORMALIZED
azure.azure.logging_sink.cross_account_destinations_restricted,azure,monitor,logging_sink,logging_monitoring_and_alerting,resource contains 'log',high,PENDING_REVIEW,azure.monitor.logging_sink.cross_account_destinations_restricted,azure → monitor,NORMALIZED
azure.azure.network_network_acl.network_nacl_egress_restricted,azure,network,network_network_acl,network_security_and_connectivity,resource contains 'network',high,PENDING_REVIEW,azure.network.network_acl.nacl_egress_restricted,azure → network,NORMALIZED
azure.azure.network_monitoring.flow_logs_enabled,azure,network,network_monitoring,logging_monitoring_and_alerting,resource contains 'network',high,PENDING_REVIEW,azure.network.monitoring.flow_logs_enabled,azure → network,NORMALIZED
azure.azure.platform_usage_plan.quota_limits_configured,azure,security,platform_usage_plan,compliance_and_governance,scope contains 'security',high,PENDING_REVIEW,azure.security.platform_usage_plan.quota_limits,azure → security,NORMALIZED
azure.azure.secrets_parameter.access_rbac_least_privilege,azure,keyvault,secrets_parameter,identity_and_access_management,resource contains 'secrets',high,PENDING_REVIEW,azure.keyvault.secrets_parameter.access_rbac_least_privilege,azure → keyvault,NORMALIZED
azure.azure.privacy_audit.logs_centralized_and_encrypted,azure,monitor,privacy_audit,data_protection_and_privacy,rule_id contains 'log',high,PENDING_REVIEW,azure.monitor.privacy_audit.logs_centralized_and_encrypted,azure → monitor,NORMALIZED
azure.azure.crypto_certificate.secrets_certificate_key_length_minimum,azure,keyvault,crypto_certificate,secrets_and_key_management,resource contains 'crypto',high,PENDING_REVIEW,azure.keyvault.certificate.certificate_key_length_minimum,azure → keyvault,NORMALIZED
azure.azure.network_segmentation.default_deny_between_tiers,azure,network,network_segmentation,network_security_and_connectivity,resource contains 'network',high,PENDING_REVIEW,azure.network.segmentation.default_deny_between_tiers,azure → network,NORMALIZED
azure.azure.secrets_secret.kms_key_configured,azure,keyvault,secrets_secret,secrets_and_key_management,resource contains 'secrets',high,PENDING_REVIEW,azure.keyvault.secrets_secret.kms_key,azure → keyvault,NORMALIZED
azure.azure.logging_store.retention_days_minimum,azure,monitor,logging_store,logging_monitoring_and_alerting,resource contains 'log',high,PENDING_REVIEW,azure.monitor.logging_store.retention_days_minimum,azure → monitor,NORMALIZED
azure.azure.network_access_control.no_permit_all,azure,network,network_access_control,identity_and_access_management,resource contains 'network',high,PENDING_REVIEW,azure.network.access_control.no_permit_all,azure → network,NORMALIZED
azure.azure.dr_source_server.resilience_dr_source_agent_to_service_tls_required,azure,backup,dr_source_server,data_protection_and_privacy,resource contains 'dr_',high,PENDING_REVIEW,azure.backup.dr_source_server.resilience_dr_source_agent_to_service_tls_required,azure → backup,NORMALIZED
azure.azure.network_customer_gateway.network_cgw_ip_addresses_valid_and_owned,azure,network,network_customer_gateway,network_security_and_connectivity,resource contains 'network',high,PENDING_REVIEW,azure.network.customer_gateway.cgw_ip_addresses_valid_and_owned,azure → network,NORMALIZED
azure.azure.paas_application_version.paas_app_version_artifact_encrypted,azure,keyvault,paas_application_version,data_protection_and_privacy,domain is 'data_protection_and_privacy',high,PENDING_REVIEW,azure.keyvault.paas_application_version.paas_app_version_artifact_encrypted,azure → keyvault,NORMALIZED
azure.azure.paas_lightsail_instance.paas_instance_ssh_password_auth_disabled,azure,compute,paas_lightsail_instance,compute_and_workload_security,resource contains 'instance',high,PENDING_REVIEW,azure.compute.paas_lightsail_instance.paas_instance_ssh_password_auth_disabled,azure → compute,NORMALIZED
azure.azure.logging_log_stream.logging_stream_retention_days_minimum,azure,monitor,logging_log_stream,logging_monitoring_and_alerting,resource contains 'log',high,PENDING_REVIEW,azure.monitor.logging_log_stream.logging_stream_retention_days_minimum,azure → monitor,NORMALIZED
azure.azure.paas_application_version.paas_app_version_immutable,azure,security,paas_application_version,compliance_and_governance,scope contains 'security',high,PENDING_REVIEW,azure.security.paas_application_version.paas_app_version_immutable,azure → security,NORMALIZED
azure.azure.crypto_private_ca.secrets_private_ca_crl_or_ocsp_configured,azure,keyvault,crypto_private_ca,network_security_and_connectivity,resource contains 'crypto',high,PENDING_REVIEW,azure.keyvault.private_ca.private_ca_crl_or_ocsp,azure → keyvault,NORMALIZED
azure.azure.streaming_analytics_application.streaming_analytics_network_private_only,azure,network,streaming_analytics_application,network_security_and_connectivity,rule_id contains 'network',high,PENDING_REVIEW,azure.network.streaming_analytics_application.streaming_analytics_network_private_only,azure → network,NORMALIZED
azure.azure.vulnerability_maintenance.vuln_maintenance_window_defined,azure,security,vulnerability_maintenance,compute_and_workload_security,scope contains 'security',high,PENDING_REVIEW,azure.security.vulnerability_maintenance.vuln_maintenance_window_defined,azure → security,NORMALIZED
azure.azure.paas_app.env_secrets_from_vault_only,azure,keyvault,paas_app,secrets_and_key_management,rule_id contains 'secrets',high,PENDING_REVIEW,azure.keyvault.paas_app.env_secrets_from_vault_only,azure → keyvault,NORMALIZED
azure.azure.monitoring_anomaly_detector.monitoring_anomaly_alerts_configured,azure,monitor,monitoring_anomaly_detector,logging_monitoring_and_alerting,resource contains 'monitoring',high,PENDING_REVIEW,azure.monitor.anomaly_detector.anomaly_alerts,azure → monitor,NORMALIZED
azure.azure.platform_authorizer.cache_ttl_reasonable,azure,security,platform_authorizer,compliance_and_governance,scope contains 'security',high,PENDING_REVIEW,azure.security.platform_authorizer.cache_ttl_reasonable,azure → security,NORMALIZED
azure.azure.paas_app.logging_enabled,azure,monitor,paas_app,logging_monitoring_and_alerting,rule_id contains 'log',high,PENDING_REVIEW,azure.monitor.paas_app.logging_enabled,azure → monitor,NORMALIZED
azure.azure.platform_api_endpoint.waf_attached,azure,api,platform_api_endpoint,network_security_and_connectivity,resource contains 'api',high,PENDING_REVIEW,azure.api.platform_api_endpoint.waf_attached,azure → api,NORMALIZED
azure.azure.privacy_anonymization.outputs_encrypted,azure,keyvault,privacy_anonymization,data_protection_and_privacy,domain is 'data_protection_and_privacy',high,PENDING_REVIEW,azure.keyvault.privacy_anonymization.outputs_encrypted,azure → keyvault,NORMALIZED
azure.azure.paas_app.private_networking_enforced,azure,network,paas_app,network_security_and_connectivity,rule_id contains 'network',high,PENDING_REVIEW,azure.network.paas_app.private_networking_enforced,azure → network,NORMALIZED
azure.azure.platform_api_key.scopes_least_privilege,azure,api,platform_api_key,identity_and_access_management,resource contains 'api',high,PENDING_REVIEW,azure.api.platform_api_key.scopes_least_privilege,azure → api,NORMALIZED
azure.azure.paas_lightsail_database.paas_db_require_tls_in_transit,azure,sql,paas_lightsail_database,data_protection_and_privacy,resource contains 'database',high,PENDING_REVIEW,azure.sql.paas_lightsail_database.paas_db_require_tls_in_transit,azure → sql,NORMALIZED
azure.azure.registry_lifecycle_policy.supply_chain_lifecycle_policy_unused_or_old_tags_expire,azure,policy,registry_lifecycle_policy,identity_and_access_management,resource contains 'policy',high,PENDING_REVIEW,azure.policy.registry_lifecycle_policy.supply_chain_lifecycle_policy_unused_or_old_tags_expire,azure → policy,NORMALIZED
azure.azure.platform_usage_plan.rate_limits_configured,azure,security,platform_usage_plan,compliance_and_governance,scope contains 'security',high,PENDING_REVIEW,azure.security.platform_usage_plan.rate_limits,azure → security,NORMALIZED
azure.azure.network_listener.cipher_policy_secure,azure,network,network_listener,identity_and_access_management,resource contains 'network',high,PENDING_REVIEW,azure.network.listener.cipher_policy_secure,azure → network,NORMALIZED
azure.azure.threat_hub.auto_enroll_new_accounts,azure,security,threat_hub,compliance_and_governance,scope contains 'security',high,PENDING_REVIEW,azure.security.threat_hub.auto_enroll_new_accounts,azure → security,NORMALIZED
azure.azure.network_load_balancer.network_lb_access_logs_enabled,azure,network,network_load_balancer,logging_monitoring_and_alerting,resource contains 'network',high,PENDING_REVIEW,azure.network.load_balancer.lb_access_logs_enabled,azure → network,NORMALIZED
azure.azure.crypto_certificate.secrets_certificate_trusted_issuer,azure,keyvault,crypto_certificate,secrets_and_key_management,resource contains 'crypto',high,PENDING_REVIEW,azure.keyvault.certificate.certificate_trusted_issuer,azure → keyvault,NORMALIZED
azure.azure.logging_log_stream.logging_stream_ingestion_auth_required,azure,monitor,logging_log_stream,logging_monitoring_and_alerting,resource contains 'log',high,PENDING_REVIEW,azure.monitor.logging_log_stream.logging_stream_ingestion_auth_required,azure → monitor,NORMALIZED
azure.azure.privacy_consent.access_rbac_least_privilege,azure,aad,privacy_consent,identity_and_access_management,domain is 'identity_and_access_management',high,PENDING_REVIEW,azure.aad.privacy_consent.access_rbac_least_privilege,azure → aad,NORMALIZED
azure.azure.crypto_private_ca.secrets_private_ca_ca_key_in_hsm_where_supported,azure,keyvault,crypto_private_ca,network_security_and_connectivity,resource contains 'crypto',high,PENDING_REVIEW,azure.keyvault.private_ca.private_ca_ca_key_in_hsm_where_supported,azure → keyvault,NORMALIZED
azure.azure.mlops_monitoring.ml_ops_monitoring_logs_enabled,azure,monitor,mlops_monitoring,logging_monitoring_and_alerting,resource contains 'monitoring',high,PENDING_REVIEW,azure.monitor.mlops_monitoring.ml_ops_monitoring_logs_enabled,azure → monitor,NORMALIZED
azure.azure.threat_custom_identifier.source_trusted,azure,security,threat_custom_identifier,compliance_and_governance,scope contains 'security',high,PENDING_REVIEW,azure.security.threat_custom_identifier.source_trusted,azure → security,NORMALIZED
azure.azure.network_route_table.no_0_0_0_0_from_private_subnets,azure,network,network_route_table,network_security_and_connectivity,resource contains 'network',high,PENDING_REVIEW,azure.network.route_table.no_0_0_0_0_from_private_subnets,azure → network,NORMALIZED
azure.azure.serverless_event_source.source_authenticated,azure,security,serverless_event_source,compute_and_workload_security,scope contains 'security',high,PENDING_REVIEW,azure.security.serverless_event_source.source_authenticated,azure → security,NORMALIZED
azure.azure.platform_api_key.expiration_required,azure,api,platform_api_key,data_protection_and_privacy,resource contains 'api',high,PENDING_REVIEW,azure.api.platform_api_key.expiration_required,azure → api,NORMALIZED
azure.azure.secrets_parameter.kms_key_configured,azure,keyvault,secrets_parameter,secrets_and_key_management,resource contains 'secrets',high,PENDING_REVIEW,azure.keyvault.secrets_parameter.kms_key,azure → keyvault,NORMALIZED
azure.azure.paas_lightsail_database.paas_db_encryption_at_rest_enabled,azure,sql,paas_lightsail_database,data_protection_and_privacy,resource contains 'database',high,PENDING_REVIEW,azure.sql.paas_lightsail_database.paas_db_encryption_at_rest_enabled,azure → sql,NORMALIZED
azure.azure.vulnerability_automation.vuln_automation_execution_roles_least_privilege,azure,rbac,vulnerability_automation,identity_and_access_management,rule_id contains 'role',high,PENDING_REVIEW,azure.rbac.vulnerability_automation.vuln_automation_execution_roles_least_privilege,azure → rbac,NORMALIZED
azure.azure.dr_plan.resilience_storage_encrypted_and_private,azure,backup,dr_plan,data_protection_and_privacy,resource contains 'dr_',high,PENDING_REVIEW,azure.backup.dr_plan.resilience_storage_encrypted_and_private,azure → backup,NORMALIZED
azure.azure.network_customer_gateway.network_cgw_no_public_management_interfaces_exposed,azure,network,network_customer_gateway,network_security_and_connectivity,resource contains 'network',high,PENDING_REVIEW,azure.network.customer_gateway.cgw_no_public_management_interfaces_exposed,azure → network,NORMALIZED
azure.azure.network_listener.tls_min_1_2,azure,network,network_listener,data_protection_and_privacy,resource contains 'network',high,PENDING_REVIEW,azure.network.listener.tls_min_1_2,azure → network,NORMALIZED
azure.azure.threat_custom_identifier.storage_encrypted,azure,storage,threat_custom_identifier,data_protection_and_privacy,rule_id contains 'storage',high,PENDING_REVIEW,azure.storage.threat_custom_identifier.storage_encrypted,azure → storage,NORMALIZED
azure.azure.network_interface.network_eni_security_groups_present,azure,network,network_interface,network_security_and_connectivity,resource contains 'network',high,PENDING_REVIEW,azure.network.interface.eni_security_groups_present,azure → network,NORMALIZED
azure.azure.streaming_stream_consumer.streaming_consumer_access_least_privilege,azure,aad,streaming_stream_consumer,identity_and_access_management,domain is 'identity_and_access_management',high,PENDING_REVIEW,azure.aad.streaming_stream_consumer.streaming_consumer_access_least_privilege,azure → aad,NORMALIZED
azure.azure.network_encryption.tls_min_1_2_enforced,azure,network,network_encryption,data_protection_and_privacy,resource contains 'network',high,PENDING_REVIEW,azure.network.encryption.tls_min_1_2_enforced,azure → network,NORMALIZED
azure.azure.serverless_function.role_least_privilege,azure,function,serverless_function,identity_and_access_management,resource contains 'function',high,PENDING_REVIEW,azure.function.serverless_function.role_least_privilege,azure → function,NORMALIZED
azure.azure.logging_sink.destination_encrypted,azure,monitor,logging_sink,data_protection_and_privacy,resource contains 'log',high,PENDING_REVIEW,azure.monitor.logging_sink.destination_encrypted,azure → monitor,NORMALIZED
azure.azure.streaming_stream.encryption_at_rest_enabled,azure,keyvault,streaming_stream,data_protection_and_privacy,domain is 'data_protection_and_privacy',high,PENDING_REVIEW,azure.keyvault.streaming_stream.encryption_at_rest_enabled,azure → keyvault,NORMALIZED
